condition_identifier,mae_mean,mae_sample_std,mape_percent_mean,mape_percent_sample_std,model_identifier,rmse_mean,rmse_sample_std,scope_identifier,seed_count,wmape_percent_mean,wmape_percent_sample_std
iid_random_10pct,1.4646316669869595,0.006241442930107995,3.33222737227509,0.057553754594588745,MS-GRU,3.1132161869288235,0.030309491346974027,horizon_3,5,2.3446468710424733,0.009991576699261713
iid_random_10pct,1.7751605493544447,0.007222391834673138,4.1564889019524305,0.06248831321039634,MS-GRU,3.9439185936353818,0.026147600196212355,horizon_6,5,2.841690537721171,0.011561659898181574
iid_random_10pct,1.7475073087312722,0.006791447656473744,4.102238113458666,0.07104548445810556,MS-GRU,3.897545104668123,0.02571181997927322,overall,5,2.7974308529018437,0.010871831617048338
iid_random_30pct,2.155243256411535,0.008320931012180425,5.182722617961493,0.11557762114509063,MS-GRU,4.742449922522452,0.023921533073269968,horizon_12,5,3.4500549895736414,0.013319920835418329
iid_random_30pct,1.5132807638877188,0.006485809569355971,3.4731849432931177,0.05885120919105404,MS-GRU,3.2471464133942076,0.03180612452410874,horizon_3,5,2.422526487739593,0.010382769576634487
iid_random_30pct,1.8050670685147416,0.007562958273595258,4.250627954227076,0.06309252343964246,MS-GRU,4.010876820276932,0.027884511542285818,horizon_6,5,2.8895651215411524,0.012106841249413436
iid_random_30pct,1.7817851838496952,0.007215694384205194,4.202886347188445,0.07127651540702704,MS-GRU,3.967682500036878,0.027440802529316716,overall,5,2.8523032903154593,0.011550970914188021
iid_random_50pct,2.187634221826537,0.011242055164766047,5.272640943605654,0.11563758279837835,MS-GRU,4.785361042645948,0.027101972015397876,horizon_12,5,3.501905569091612,0.01799597720530218
iid_random_50pct,1.593521693419642,0.006924497826586689,3.705165159579436,0.06339566496390223,MS-GRU,3.450248627407464,0.03443986105595602,horizon_3,5,2.550979701333969,0.01108504105748764
iid_random_50pct,1.8583105326777651,0.007841592955453662,4.408909714531018,0.06382968144094683,MS-GRU,4.114736235287255,0.029844937842316892,horizon_6,5,2.9747976647962298,0.012552881771892158
