absolute_mae_degradation,clean_mae,condition_identifier,model_identifier,model_seed,relative_mae_degradation_percent,scenario_mae,scope_identifier
0.011827519809273879,1.6292032545725197,iid_random_10pct,FAR-GF-RC,101,0.7259695667854074,1.6410307743817936,overall
0.045824175264048916,1.6292032545725197,iid_random_30pct,FAR-GF-RC,101,2.8126739334357973,1.6750274298365686,overall
0.10739910666562813,1.6292032545725197,iid_random_50pct,FAR-GF-RC,101,6.592124485646708,1.7366023612381478,overall
0.04836946919462504,1.6292032545725197,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,101,2.9689033003630056,1.6775727237671447,overall
0.15884826469945956,1.6292032545725197,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,101,9.750058149812569,1.7880515192719793,overall
0.6626049514531218,1.6292032545725197,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,101,40.670490289867494,2.2918082060256415,overall
0.0190036252284127,1.6292032545725197,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,101,1.1664367337271855,1.6482068798009324,overall
0.042409829522261244,1.6292032545725197,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,101,2.603102430788416,1.671613084094781,overall
0.0806996443312693,1.6292032545725197,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,101,4.95331961219558,1.709902898903789,overall
0.014450702050539554,1.3568117209268782,iid_random_10pct,FAR-GF-RC,101,1.0650484387522723,1.3712624229774177,horizon_3
0.053830154984535916,1.3568117209268782,iid_random_30pct,FAR-GF-RC,101,3.96740049885204,1.410641875911414,horizon_3
0.12291977810695265,1.3568117209268782,iid_random_50pct,FAR-GF-RC,101,9.059457271122518,1.4797314990338308,horizon_3
0.06312098639697283,1.3568117209268782,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,101,4.652155153395419,1.419932707323851,horizon_3
0.2045379708261752,1.3568117209268782,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,101,15.074897104105887,1.5613496917530534,horizon_3
0.8002346931516562,1.3568117209268782,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,101,58.97905220077198,2.1570464140785344,horizon_3
0.024238015494952192,1.3568117209268782,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,101,1.7863949080860304,1.3810497364218304,horizon_3
0.05299410224151102,1.3568117209268782,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,101,3.905781577808687,1.4098058231683892,horizon_3
0.10103385999342329,1.3568117209268782,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,101,7.446417099375002,1.4578455809203015,horizon_3
0.009114728881355116,1.6875228440000292,iid_random_10pct,FAR-GF-RC,101,0.5401247700890358,1.6966375728813843,horizon_6
0.037048403378839634,1.6875228440000292,iid_random_30pct,FAR-GF-RC,101,2.1954312210092364,1.7245712473788688,horizon_6
0.08978032439751327,1.6875228440000292,iid_random_50pct,FAR-GF-RC,101,5.320243498731074,1.7773031683975424,horizon_6
0.03701664070708577,1.6875228440000292,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,101,2.193549014088791,1.724539484707115,horizon_6
0.12851803739338985,1.6875228440000292,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,101,7.615780601153606,1.816040881393419,horizon_6
0.6142845104059262,1.6875228440000292,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,101,36.40155228653697,2.3018073544059554,horizon_6
0.01739855844044902,1.6875228440000292,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,101,1.0310117283632292,1.7049214024404782,horizon_6
0.03948828635549573,1.6875228440000292,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,101,2.3400149216288204,1.727011130355525,horizon_6
0.0735527364945372,1.6875228440000292,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,101,4.358621677688881,1.7610755804945664,horizon_6
0.008551761587495488,2.0096759841334912,iid_random_10pct,FAR-GF-RC,101,0.4255293716505617,2.0182277457209867,horizon_12
0.03614433575291853,2.0096759841334912,iid_random_30pct,FAR-GF-RC,101,1.7985155835209339,2.0458203198864098,horizon_12
0.08790530962831733,2.0096759841334912,iid_random_50pct,FAR-GF-RC,101,4.374103602885981,2.0975812937618086,horizon_12
0.029048852426099447,2.0096759841334912,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,101,1.4454495478595468,2.0387248365595907,horizon_12
0.09807782143920907,2.0096759841334912,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,101,4.880280314515334,2.1077538055727003,horizon_12
0.4834081305161684,2.0096759841334912,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,101,24.05403330351279,2.4930841146496596,horizon_12
0.012755055933087345,2.0096759841334912,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,101,0.6346822091615392,2.0224310400665786,horizon_12
0.028684889400880653,2.0096759841334912,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,101,1.427339015211881,2.038360873534372,horizon_12
0.053931078402940535,2.0096759841334912,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,101,2.6835708257813464,2.063607062536432,horizon_12
0.011550844733547283,1.7269280033858796,iid_random_10pct,MS-GRU,17,0.6688666065348564,1.7384788481194269,overall
0.044010209624519625,1.7269280033858796,iid_random_30pct,MS-GRU,17,2.5484681201666524,1.7709382130103992,overall
0.09992509649768389,1.7269280033858796,iid_random_50pct,MS-GRU,17,5.786291976374637,1.8268530998835635,overall
0.05897728824962534,1.7269280033858796,temporal_tail_25pct_sensors_3steps,MS-GRU,17,3.4151561694518975,1.785905291635505,overall
0.19746304977667184,1.7269280033858796,temporal_tail_50pct_sensors_6steps,MS-GRU,17,11.434353336648568,1.9243910531625514,overall
