baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
1.7532472683018514,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.6496902414729389,17,5.9065842394960715,FAR-GF-RC,overall
1.4750635662857994,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.380959083835166,17,6.379689974147209,FAR-GF-RC,horizon_3
1.7799871662773892,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.706154009440711,17,4.147960065975674,FAR-GF-RC,horizon_6
2.1404853344261223,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,2.023175279425015,17,5.480535330673454,FAR-GF-RC,horizon_12
1.7827678436987342,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.6731797766993872,17,6.147074471120313,FAR-GF-RC,overall
1.5118215951772367,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.4101054151347578,17,6.728054445508451,FAR-GF-RC,horizon_3
1.8083940853443152,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.7284223378398738,17,4.422252215518333,FAR-GF-RC,horizon_6
2.160839373862361,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,2.0387644394648308,17,5.649421973431045,FAR-GF-RC,horizon_12
1.831653985852366,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.711700496341103,17,6.54891646772696,FAR-GF-RC,overall
1.5747830621968506,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.4581701014515698,17,7.4050174620625935,FAR-GF-RC,horizon_3
1.8544255471977131,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7622482979791045,17,4.97066325245038,FAR-GF-RC,horizon_6
2.1920826952237795,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,2.064979421900548,17,5.798288248895473,FAR-GF-RC,horizon_12
1.7381333607576492,MS-GRU,clean_native_history,1.6279427572238343,29,6.339594303959683,FAR-GF-RC,overall
1.4437946097552739,MS-GRU,clean_native_history,1.3651176232000573,29,5.449319870265516,FAR-GF-RC,horizon_3
1.769465796881269,MS-GRU,clean_native_history,1.6868876502325805,29,4.66684051165243,FAR-GF-RC,horizon_6
2.1370235724027737,MS-GRU,clean_native_history,1.9967054363150414,29,6.5660546706073495,FAR-GF-RC,horizon_12
1.7508264503481947,MS-GRU,iid_random_10pct,1.6405887356411584,29,6.296324497788624,FAR-GF-RC,overall
1.4631540393233498,MS-GRU,iid_random_10pct,1.3808753931070419,29,5.623375530190823,FAR-GF-RC,horizon_3
1.7806869632058095,MS-GRU,iid_random_10pct,1.6969613460620743,29,4.701871742409021,FAR-GF-RC,horizon_6
2.1415855373107315,MS-GRU,iid_random_10pct,2.0052331389348694,29,6.366890138186349,FAR-GF-RC,horizon_12
1.7845843814156692,MS-GRU,iid_random_30pct,1.674265329623659,29,6.181778398424442,FAR-GF-RC,overall
1.512391080109035,MS-GRU,iid_random_30pct,1.419818488916752,29,6.1209426853806255,FAR-GF-RC,horizon_3
1.8101372731678844,MS-GRU,iid_random_30pct,1.724767160614162,29,4.716223118499627,FAR-GF-RC,horizon_6
2.157220355609649,MS-GRU,iid_random_30pct,2.031762572938451,29,5.815714762052788,FAR-GF-RC,horizon_12
1.8424997040041482,MS-GRU,iid_random_50pct,1.7343741030336621,29,5.868418905875854,FAR-GF-RC,overall
1.5927112635682106,MS-GRU,iid_random_50pct,1.4870509682109878,29,6.633989334671248,FAR-GF-RC,horizon_3
1.863064049676521,MS-GRU,iid_random_50pct,1.7759672197702852,29,4.674924081185411,FAR-GF-RC,horizon_6
2.1873843336604955,MS-GRU,iid_random_50pct,2.0820185897558017,29,4.816974423894161,FAR-GF-RC,horizon_12
1.7990692010100922,MS-GRU,temporal_tail_25pct_sensors_3steps,1.6755708153619375,29,6.864571167068846,FAR-GF-RC,overall
1.5346512039471134,MS-GRU,temporal_tail_25pct_sensors_3steps,1.427570837006672,29,6.977505159806436,FAR-GF-RC,horizon_3
1.8229884029243288,MS-GRU,temporal_tail_25pct_sensors_3steps,1.7227971291507447,29,5.495990737673554,FAR-GF-RC,horizon_6
2.1625977732360275,MS-GRU,temporal_tail_25pct_sensors_3steps,2.0252492966442097,29,6.351087488002675,FAR-GF-RC,horizon_12
1.9412513267225053,MS-GRU,temporal_tail_50pct_sensors_6steps,1.7872771102197995,29,7.93169922838723,FAR-GF-RC,overall
1.7323590193176726,MS-GRU,temporal_tail_50pct_sensors_6steps,1.5693819481188764,29,9.407811509128644,FAR-GF-RC,horizon_3
1.9495640531129836,MS-GRU,temporal_tail_50pct_sensors_6steps,1.8158992852829952,29,6.856136253464362,FAR-GF-RC,horizon_6
2.239452078331413,MS-GRU,temporal_tail_50pct_sensors_6steps,2.096444817798563,29,6.385814723010403,FAR-GF-RC,horizon_12
2.5709838478457225,MS-GRU,temporal_tail_75pct_sensors_12steps,2.2894094708518162,29,10.952008789547355,FAR-GF-RC,overall
2.4789447960418456,MS-GRU,temporal_tail_75pct_sensors_12steps,2.1586977026212955,29,12.918685963959007,FAR-GF-RC,horizon_3
2.561854901857403,MS-GRU,temporal_tail_75pct_sensors_12steps,2.2989301824892046,29,10.263060533895652,FAR-GF-RC,horizon_6
2.7164615685272597,MS-GRU,temporal_tail_75pct_sensors_12steps,2.480322026712338,29,8.692909354979237,FAR-GF-RC,horizon_12
1.765233154939901,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.6470532587994047,29,6.69486043867785,FAR-GF-RC,overall
1.4778841053045448,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.3893353126131283,29,5.991592464767019,FAR-GF-RC,horizon_3
