absolute_mae_degradation_mean,absolute_mae_degradation_sample_std,condition_identifier,model_identifier,relative_mae_degradation_percent_mean,relative_mae_degradation_percent_sample_std,scope_identifier,seed_count
0.08129917504672553,0.0006711458951318655,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,4.99588718378449,0.04905797148017274,overall,5
0.013140917134171337,0.0004478929984485461,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,0.6575674227190262,0.025455605595298747,horizon_12,5
0.024319383936774176,0.0001829427276326579,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,1.7881535381017308,0.011874609382933353,horizon_3,5
0.017464311094047426,0.0002478457869648283,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,1.0352721642918254,0.01564576257232931,horizon_6,5
0.019203786783110032,0.00024002227573338697,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,1.180091071696551,0.01656012333085088,overall,5
0.02815038941279031,0.0006772751922067987,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,1.4084354004023791,0.032884167472228644,horizon_12,5
0.06332661830994897,0.001067143528251582,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,4.656471860641261,0.09048695664182584,horizon_3,5
0.03646092313450797,0.0006226579237131448,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,2.16136985054714,0.038024253551376785,horizon_6,5
0.04787009234169774,0.0005841923178207978,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,2.941618663349979,0.036293200779836325,overall,5
0.09871244757298658,0.000995263143511701,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,4.939140929103421,0.07445147979386744,horizon_12,5
0.2065917865100586,0.0025509665825613984,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,15.190663155065176,0.21814755742816794,horizon_3,5
0.1291611571037133,0.0010968400066439393,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,7.656525953944865,0.06873461321893296,horizon_6,5
0.15941257658897462,0.0009479546159156439,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,9.79594441858757,0.06775014120953651,overall,5
0.4867241658580693,0.008402834346001722,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,24.354463823591345,0.555321079472176,horizon_12,5
0.7992792294333904,0.0042468483627605145,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,58.770361120776464,0.45376558647292436,horizon_3,5
0.6129292151755706,0.0036876597955540456,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,36.33382021879952,0.25656525031487865,horizon_6,5
0.6630238933114054,0.004066105731212339,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,40.743182334940336,0.31992704143928213,overall,5
0.00597076783125825,0.001843175308126556,iid_random_10pct,MS-GRU,0.2801915344867796,0.08692661006992156,horizon_12,5
0.018459559127595292,0.0006987746611420842,iid_random_10pct,MS-GRU,1.2764228871802894,0.047468847546486545,horizon_3,5
0.011120165261194437,0.0005062665668189953,iid_random_10pct,MS-GRU,0.6303226498197351,0.027066453945302146,horizon_6,5
0.012744812815862084,0.000722465187651437,iid_random_10pct,MS-GRU,0.7346299047860126,0.040775867374303124,overall,5
0.02384617578672703,0.005111366541222154,iid_random_30pct,MS-GRU,1.1189963337400264,0.24149810102317384,horizon_12,5
0.06710865602835443,0.0014968543023629874,iid_random_30pct,MS-GRU,4.640434587642935,0.10200067746085939,horizon_3,5
0.04102668442149167,0.001252484611268624,iid_random_30pct,MS-GRU,2.32563700467376,0.06703380544874518,horizon_6,5
0.04702268793428495,0.0020109256235746674,iid_random_30pct,MS-GRU,2.71056009249342,0.11435457951252533,overall,5
0.05623714120172929,0.009329966374910964,iid_random_50pct,MS-GRU,2.638752046676383,0.4406617860890764,horizon_12,5
0.14734958556027772,0.00275994077474459,iid_random_50pct,MS-GRU,10.189007222073837,0.19129952722094803,horizon_3,5
0.09427014858451507,0.0026431365737728772,iid_random_50pct,MS-GRU,5.343955122266509,0.1472728215848496,horizon_6,5
0.10577164792491636,0.004194515698305891,iid_random_50pct,MS-GRU,6.09715708918384,0.2407581675246888,overall,5
0.03890459776121391,0.001840903645082685,spatial_geographic_knn4_cluster_16_full_history,MS-GRU,1.8254347956709096,0.08940944407709958,horizon_12,5
0.07053286164304953,0.001507753193697364,spatial_geographic_knn4_cluster_16_full_history,MS-GRU,4.877349434996164,0.10977684104089198,horizon_3,5
0.05377278224587969,0.0011575135749213408,spatial_geographic_knn4_cluster_16_full_history,MS-GRU,3.0482899886217814,0.06544377974333877,horizon_6,5
0.0562916950411652,0.001144888079862117,spatial_geographic_knn4_cluster_16_full_history,MS-GRU,3.244993925842171,0.06914187889187846,overall,5
0.07265461494903347,0.004554663355719127,spatial_geographic_knn4_cluster_32_full_history,MS-GRU,3.40903329734182,0.2187038280222141,horizon_12,5
0.13340420253235657,0.0027563788797069747,spatial_geographic_knn4_cluster_32_full_history,MS-GRU,9.224956661195366,0.2043273137976562,horizon_3,5
0.1005017854085259,0.0022502212562040547,spatial_geographic_knn4_cluster_32_full_history,MS-GRU,5.697302804473048,0.12863990341732323,horizon_6,5
0.10616846017776038,0.0024772917862492987,spatial_geographic_knn4_cluster_32_full_history,MS-GRU,6.120227147710039,0.14994030689205126,overall,5
0.01832601213899565,0.0010681334042903687,spatial_geographic_knn4_cluster_8_full_history,MS-GRU,0.8598705634295767,0.051300388891581776,horizon_12,5
0.033902870172927854,0.0006442375465755558,spatial_geographic_knn4_cluster_8_full_history,MS-GRU,2.344376657492991,0.04706481888774559,horizon_3,5
0.025361715383651263,0.00047767059432385296,spatial_geographic_knn4_cluster_8_full_history,MS-GRU,1.4377105378989188,0.026801765057087312,horizon_6,5
