condition_identifier,mae,mape_percent,model_identifier,model_seed,rmse,scope_identifier,scored_cells,wmape_percent
spatial_geographic_knn4_cluster_32_full_history,1.465186225119525,3.1954187272030943,FAR-GF-RC,43,3.0834448685999014,horizon_3,3384008,2.345534632122367
spatial_geographic_knn4_cluster_32_full_history,1.7614007080466272,4.07956438744199,FAR-GF-RC,43,3.8493000713732486,horizon_6,3384008,2.81966367887779
spatial_geographic_knn4_cluster_32_full_history,2.0393593505333043,4.869124279927478,FAR-GF-RC,43,4.465754988190271,horizon_12,3384008,3.2645511739383966
clean_native_history,1.623261873248746,3.7571839865454666,FAR-GF-RC,71,3.640119478008574,overall,40608096,2.598537255825339
clean_native_history,1.3574238669646237,2.951498013499425,FAR-GF-RC,71,2.849551152866948,horizon_3,3384008,2.173023903616934
clean_native_history,1.683892656033511,3.912044093320132,FAR-GF-RC,71,3.739533489059852,horizon_6,3384008,2.6955881984470365
clean_native_history,1.994824580178776,4.780953001460031,FAR-GF-RC,71,4.443841205075681,horizon_12,3384008,3.193261120616537
iid_random_10pct,1.6348405255613554,3.7840110873125674,FAR-GF-RC,71,3.661598112252237,overall,40608096,2.617072502603696
iid_random_10pct,1.3720822120475655,2.988833626013623,FAR-GF-RC,71,2.887931167861516,horizon_3,3384008,2.196489627940704
iid_random_10pct,1.6929814629319166,3.934625777748679,FAR-GF-RC,71,3.7579566896041214,horizon_6,3384008,2.710137629805099
iid_random_10pct,2.0025890978218457,4.795922435186319,FAR-GF-RC,71,4.456075971276473,horizon_12,3384008,3.2056903500116016
iid_random_30pct,1.668479323106696,3.8652029027257635,FAR-GF-RC,71,3.7289578154321164,overall,40608096,2.6709218969024673
iid_random_30pct,1.411720535632516,3.0927202639604907,FAR-GF-RC,71,2.992466070898803,horizon_3,3384008,2.2599444019030988
iid_random_30pct,1.7209173358958716,4.003979737589999,FAR-GF-RC,71,3.8183097315083465,horizon_6,3384008,2.7548575881736657
iid_random_30pct,2.0289604925607057,4.85382239515006,FAR-GF-RC,71,4.502562752826182,horizon_12,3384008,3.247904963944465
iid_random_50pct,1.7284030221122348,4.013687042022329,FAR-GF-RC,71,3.8438923108618637,overall,40608096,2.766848479630068
iid_random_50pct,1.4807942644667362,3.276242333204622,FAR-GF-RC,71,3.1631362286707856,horizon_3,3384008,2.3705206688464195
iid_random_50pct,1.7712499774033632,4.129332870818409,FAR-GF-RC,71,3.9189880646971584,horizon_6,3384008,2.8354304643354107
iid_random_50pct,2.0792676976109954,4.96940616893833,FAR-GF-RC,71,4.586229955790079,horizon_12,3384008,3.3284353742723627
temporal_tail_25pct_sensors_3steps,1.6716997706083145,3.8866529685996243,FAR-GF-RC,71,3.7477971136469503,overall,40608096,2.67607722824567
temporal_tail_25pct_sensors_3steps,1.4220320879049055,3.1325391919625365,FAR-GF-RC,71,3.0350225456213753,horizon_3,3384008,2.276451588874405
temporal_tail_25pct_sensors_3steps,1.7210330195719732,4.017080543620152,FAR-GF-RC,71,3.83124844962928,horizon_6,3384008,2.755042775484113
temporal_tail_25pct_sensors_3steps,2.022946384404787,4.851823447402022,FAR-GF-RC,71,4.502556130352315,horizon_12,3384008,3.238277742613676
temporal_tail_50pct_sensors_6steps,1.784149042444128,4.189591304432449,FAR-GF-RC,71,3.9759037422646313,overall,40608096,2.856087383767271
temporal_tail_50pct_sensors_6steps,1.5672800924341668,3.5457879860412,FAR-GF-RC,71,3.4001890939119774,horizon_3,3384008,2.5089709908652726
temporal_tail_50pct_sensors_6steps,1.814359674606599,4.2747916713483,FAR-GF-RC,71,4.027149361994231,horizon_6,3384008,2.904440796201455
